date,site,meal,day_of_week,weather,event,requested_quantity,actual_received,actual_consumed,vendor,delivery_delay_min,delivery_variance,wastage_quantity,delivery_accuracy_pct,wastage_pct,day_num
2026-05-01,Site A,Breakfast,Friday,Hot,0,583,557,551,Vendor A,7,26,6,95.54030874785592,1.0771992818671454,4
2026-05-01,Site A,Lunch,Friday,Hot,0,854,843,843,Vendor A,7,11,0,98.711943793911,0.0,4
2026-05-01,Site A,Dinner,Friday,Hot,0,768,711,711,Vendor B,10,57,0,92.578125,0.0,4
2026-05-01,Site B,Breakfast,Friday,Hot,0,393,357,357,Vendor C,6,36,0,90.83969465648855,0.0,4
2026-05-01,Site B,Lunch,Friday,Hot,0,679,666,654,Vendor A,13,13,12,98.08541973490426,1.8018018018018018,4
2026-05-01,Site B,Dinner,Friday,Hot,0,547,523,523,Vendor B,7,24,0,95.61243144424132,0.0,4
2026-05-01,Site C,Breakfast,Friday,Hot,0,602,592,575,Vendor A,5,10,17,98.33887043189368,2.871621621621622,4
2026-05-01,Site C,Lunch,Friday,Hot,0,1001,871,871,Vendor B,30,130,0,87.01298701298701,0.0,4
2026-05-01,Site C,Dinner,Friday,Hot,0,804,776,776,Vendor A,6,28,0,96.51741293532339,0.0,4
2026-05-01,Site D,Breakfast,Friday,Hot,0,318,297,297,Vendor B,7,21,0,93.39622641509435,0.0,4
2026-05-01,Site D,Lunch,Friday,Hot,0,546,529,519,Vendor A,10,17,10,96.88644688644689,1.890359168241966,4
2026-05-01,Site D,Dinner,Friday,Hot,0,411,404,404,Vendor A,7,7,0,98.29683698296837,0.0,4
2026-05-01,Site E,Breakfast,Friday,Hot,0,460,430,430,Vendor B,8,30,0,93.47826086956522,0.0,4
2026-05-01,Site E,Lunch,Friday,Hot,0,729,691,691,Vendor B,6,38,0,94.78737997256516,0.0,4
2026-05-01,Site E,Dinner,Friday,Hot,0,686,668,659,Vendor A,6,18,9,97.37609329446065,1.347305389221557,4
2026-05-02,Site A,Breakfast,Saturday,Normal,0,388,348,348,Vendor C,4,40,0,89.69072164948454,0.0,5
2026-05-02,Site A,Lunch,Saturday,Normal,0,696,676,662,Vendor A,2,20,14,97.12643678160919,2.0710059171597637,5
2026-05-02,Site A,Dinner,Saturday,Normal,0,592,579,579,Vendor A,3,13,0,97.80405405405406,0.0,5
2026-05-02,Site B,Breakfast,Saturday,Normal,0,313,305,305,Vendor A,10,8,0,97.44408945686901,0.0,5
2026-05-02,Site B,Lunch,Saturday,Normal,0,492,490,477,Vendor A,8,2,13,99.59349593495935,2.6530612244897958,5
2026-05-02,Site B,Dinner,Saturday,Normal,0,461,443,443,Vendor A,4,18,0,96.09544468546638,0.0,5
2026-05-02,Site C,Breakfast,Saturday,Normal,0,489,438,438,Vendor C,6,51,0,89.57055214723927,0.0,5
2026-05-02,Site C,Lunch,Saturday,Normal,0,926,829,822,Vendor C,0,97,7,89.52483801295897,0.8443908323281062,5
